Account,total_trades,total_volume_usd,total_closed_pnl,total_net_pnl,total_fee,avg_trade_size_usd,win_rate,profit_factor
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,56543565.23,2143382.597689,2127387.27943718,15995.31825182,3837.885375008484,0.7910495301799649,36.095615743551
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,61697263.97,1600229.819979,1592824.507675,7405.312304,16159.57673389209,0.7927251732101617,4.708739012601688
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,68036340.24,940163.80622,931567.100553781,8596.705666219,3210.472831257078,0.9911973592077623,27208.369846921258
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,74107810.44,836080.553077,822727.65336805,13352.89970895,1844.2118863229146,0.7630703738193428,3.8624766240981994
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,420876556.36,840422.555216,763997.91232431,76424.64289169,34396.58028440667,0.8954761036118205,5.902045349745262
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,39572949.25,677747.050643,669721.05824881,8025.99239419,9084.699093204776,0.948499776085983,52.80460926288537
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,11474500.92,429355.565915,427804.12864871,1551.43726629,7216.667245283019,0.746268656716418,7.446678113925911
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,2966109.22,416541.872341,415794.86541,747.006931,2397.824753435732,1.0,416541.872341
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,3051144.33,403011.504159,402721.49311084,290.01104816,2133.6673636363635,0.776595744680851,10.274501955259113
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,25729497.24,379095.406711,376500.14756932,2595.25914168,2600.7780491256444,0.9263279445727483,8.604446854939278
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,129672529.28,308975.869716,268251.402313,40724.467403,17098.171054852322,0.9267548321464903,2.432098602345393
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,20737391.71,220519.061853,215745.96336857,4773.09848443,7852.098337750852,0.7349192863211554,1.6521954150293017
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,1987527.6099999999,199505.592732,199237.625643021,267.967088979,5189.367127937337,1.0,199505.59273199996
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,10166880.2,168658.004994,165549.808272,3108.196722,3138.894782340228,0.8174757281553398,14.959188362980711
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,6757022.1,132464.814554,130246.4471875491,2218.3673664509,507.6269326121253,0.8620791494388659,4.410181133451602
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,10992355.74,126578.942134,123756.98333474,2821.95879926,3601.689298820446,0.976457399103139,191.40172481457287
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,728057.51,108731.216772,108544.3806950676,186.8360769324,746.7256512820513,0.9882629107981221,1162.6261555583023
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,19868207.98,106302.875256,104014.9198228958,2287.9554331042,1273.1950003204101,0.9703290775040461,11.471318148407192
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,4408828.9,103343.716161,102112.8696398181,1230.8465211819,517.5289235825802,0.822003822003822,3.5103038328556604
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,861809.4,72846.484272,72656.54626749,189.93800451,2066.6892086330936,0.9372549019607843,5.095726132351362
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,1677425.72,67845.619531,67296.89026639,548.72926461,2979.4417761989343,1.0,67845.619531
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,11999173.37,65513.657906,62128.775687420006,3384.88221858,6279.002286760858,0.8837535014005602,12.641428628626457
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,1143896.46,53496.247243,53319.973067082996,176.274175917,3445.471265060241,1.0,53496.24724300001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,12035487.66,47885.320514,45155.48262547,2729.83788853,1653.2263269230768,0.7736437830052808,2.110680680780769
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,12304786.84,43917.008976,40124.46588053,3792.54309547,820.4285131350847,0.5990242415002287,1.6330180218206147
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,4448323.26,21758.831753,21217.0861435536,541.7456094464,8330.193370786517,0.7478260869565218,6.63440900816173
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,5844484.45,14900.443047,14120.22614404,780.21690296,3748.8675112251444,0.9450402144772118,7.440123791525199
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,17193375.42,14456.919335999997,12998.262209929999,1458.65712607,4790.5754862078575,0.66553480475382,1.0650644957231346
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,108877041.1,22488.500821,-6154.672894000001,28643.173715,22504.555828854896,0.8034835289663006,1.2414583601225258
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,1409902.0,-31203.599986,-31350.674749380003,147.07476338,1729.9411042944785,0.6508771929824562,0.6207601580161629
0x271b280974205ca63b716753467d5a371de622ab,3809,33873440.42,-70436.191318,-79717.174168,9280.98285,8893.000897873459,0.7156191661481021,0.47190160933400305
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,10143758.13,-167621.124781,-169200.51023292,1579.38545192,2204.6855314062163,0.7522426313541222,0.657741578049113
