parsed_date,date_str,btc_price,fgi_value,fgi_class,btc_return,Elite Pro,Pro,dumb_buy_ratio,smart_buy_ratio,Whale Retail / Losing,fgi_value_lag,smart_buy_ratio_lag,dumb_buy_ratio_lag,pos_contrarian_ls,pos_contrarian_lo,pos_smart_ls,pos_smart_lo,pos_fade_dumb_ls,pos_fade_dumb_lo,ret_benchmark,ret_contrarian_ls,ret_smart_ls,ret_fade_dumb_ls,ret_contrarian_lo,ret_smart_lo,ret_fade_dumb_lo,cum_benchmark,cum_contrarian_ls,cum_smart_ls,cum_fade_dumb_ls,cum_contrarian_lo,cum_smart_lo,cum_fade_dumb_lo
2023-12-05,2023-12-05,41866.5,75.0,Extreme Greed,0.0,,,0.5,0.7777777777777778,,50.0,0.5,0.5,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-06,2023-12-06,41866.5,75.0,Extreme Greed,0.0,,,0.5,0.5,,75.0,0.7777777777777778,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-07,2023-12-07,41866.5,75.0,Extreme Greed,0.0,,,0.5,0.5,,75.0,0.5,0.5,-1,0,0,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-08,2023-12-08,41866.5,75.0,Extreme Greed,0.0,,,0.5,0.5,,75.0,0.5,0.5,-1,0,0,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-09,2023-12-09,41866.5,75.0,Extreme Greed,0.0,,,0.5,0.5,,75.0,0.5,0.5,-1,0,0,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-10,2023-12-10,41866.5,75.0,Extreme Greed,0.0,,,0.5,0.5,,75.0,0.5,0.5,-1,0,0,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-11,2023-12-11,41866.5,75.0,Extreme Greed,0.0,,,0.5,0.5,,75.0,0.5,0.5,-1,0,0,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-12,2023-12-12,41866.5,75.0,Extreme Greed,0.0,,,0.5,0.5,,75.0,0.5,0.5,-1,0,0,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-13,2023-12-13,41866.5,75.0,Extreme Greed,0.0,,,0.5,0.5,,75.0,0.5,0.5,-1,0,0,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-14,2023-12-14,42748.5,72.0,Greed,0.021066962846189696,,,0.5,0.45454545454545453,,75.0,0.5,0.5,-1,0,0,1,0,0,0.021066962846189696,-0.021066962846189696,0.0,0.0,0.0,0.021066962846189696,0.0,1.0210669628461897,0.9789330371538103,1.0,1.0,1.0,1.0210669628461897,1.0
2023-12-15,2023-12-15,42748.5,70.0,Greed,0.0,,,0.5,1.0,,72.0,0.45454545454545453,0.5,-1,0,-1,0,0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0210669628461897,0.9789330371538103,1.0,1.0,1.0,1.0210669628461897,1.0
2023-12-16,2023-12-16,42748.5,67.0,Greed,0.0,,,0.5,1.0,,70.0,1.0,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0210669628461897,0.9789330371538103,1.0,1.0,1.0,1.0210669628461897,1.0
2023-12-17,2023-12-17,42748.5,73.0,Greed,0.0,,,0.5,0.21428571428571427,,67.0,1.0,0.5,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0210669628461897,0.9789330371538103,1.0,1.0,1.0,1.0210669628461897,1.0
2023-12-18,2023-12-18,42748.5,65.0,Greed,0.0,,,0.5,1.0,,73.0,0.21428571428571427,0.5,-1,0,-1,0,0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0210669628461897,0.9789330371538103,1.0,1.0,1.0,1.0210669628461897,1.0
2023-12-19,2023-12-19,42748.5,73.0,Greed,0.0,,,0.5,0.3333333333333333,,65.0,1.0,0.5,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0210669628461897,0.9789330371538103,1.0,1.0,1.0,1.0210669628461897,1.0
2023-12-20,2023-12-20,42748.5,74.0,Greed,0.0,,,0.5,0.5555555555555556,,73.0,0.3333333333333333,0.5,-1,0,-1,0,0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0210669628461897,0.9789330371538103,1.0,1.0,1.0,1.0210669628461897,1.0
2023-12-21,2023-12-21,42748.5,70.0,Greed,0.0,,,0.5,0.4489795918367347,,74.0,0.5555555555555556,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0210669628461897,0.9789330371538103,1.0,1.0,1.0,1.0210669628461897,1.0
2023-12-22,2023-12-22,43841.71428571428,74.0,Greed,0.025573161297221647,,,0.5,0.8,,70.0,0.4489795918367347,0.5,-1,0,-1,0,0,0,0.025573161297221647,-0.025573161297221647,-0.025573161297221647,0.0,0.0,0.0,0.0,1.0471788729823195,0.9538986246954968,0.9744268387027784,1.0,1.0,1.0210669628461897,1.0
2023-12-23,2023-12-23,43841.71428571428,70.0,Greed,0.0,,,0.5,0.38461538461538464,,74.0,0.8,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0471788729823195,0.9538986246954968,0.9744268387027784,1.0,1.0,1.0210669628461897,1.0
2023-12-24,2023-12-24,43697.5,71.0,Greed,-0.0032894308095354763,,,0.5,0.5384615384615384,,70.0,0.38461538461538464,0.5,-1,0,-1,0,0,0,-0.0032894308095354763,0.0032894308095354763,0.0032894308095354763,-0.0,-0.0,-0.0,-0.0,1.043734250534437,0.9570364082207437,0.9776321483676456,1.0,1.0,1.0210669628461897,1.0
2023-12-25,2023-12-25,43697.5,73.0,Greed,0.0,,,0.5,0.6666666666666666,,71.0,0.5384615384615384,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.043734250534437,0.9570364082207437,0.9776321483676456,1.0,1.0,1.0210669628461897,1.0
2023-12-26,2023-12-26,43697.5,73.0,Greed,0.0,,,0.5,0.5,,73.0,0.6666666666666666,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.043734250534437,0.9570364082207437,0.9776321483676456,1.0,1.0,1.0210669628461897,1.0
2023-12-27,2023-12-27,43697.5,73.0,Greed,0.0,,,0.5,0.5357142857142857,,73.0,0.5,0.5,-1,0,0,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.043734250534437,0.9570364082207437,0.9776321483676456,1.0,1.0,1.0210669628461897,1.0
2023-12-28,2023-12-28,43697.5,73.0,Greed,0.0,,,0.5,0.43478260869565216,,73.0,0.5357142857142857,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.043734250534437,0.9570364082207437,0.9776321483676456,1.0,1.0,1.0210669628461897,1.0
2023-12-29,2023-12-29,42843.0,65.0,Greed,-0.019554894444762327,,,0.5,0.62,,73.0,0.43478260869565216,0.5,-1,0,-1,0,0,0,-0.019554894444762327,0.019554894444762327,0.019554894444762327,-0.0,-0.0,-0.0,-0.0,1.023324137436853,0.9757511541632947,0.9967496418347811,1.0,1.0,1.0210669628461897,1.0
2023-12-30,2023-12-30,42073.26666666667,68.0,Greed,-0.017966373347649056,,,0.5,0.38461538461538464,,65.0,0.62,0.5,0,0,1,1,0,0,-0.017966373347649056,-0.0,-0.017966373347649056,-0.0,-0.0,-0.017966373347649056,-0.0,1.0049387139280015,0.9757511541632947,0.978841665635442,1.0,1.0,1.002722092578745,1.0
2023-12-31,2023-12-31,42073.26666666667,68.0,Greed,0.0,,,0.5,0.5,,68.0,0.38461538461538464,0.5,0,0,-1,0,0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0049387139280015,0.9757511541632947,0.978841665635442,1.0,1.0,1.002722092578745,1.0
