ProfileClass,classification,BUY,SELL,Buy_Ratio
Elite Pro,Extreme Fear,1421,1394,0.5047957371225578
Elite Pro,Extreme Greed,9001,9083,0.49773280247732804
Elite Pro,Fear,4632,3204,0.5911179173047473
Elite Pro,Greed,7106,7341,0.4918668235619852
Elite Pro,Neutral,5071,3723,0.5766431657948601
Pro,Extreme Fear,1860,1512,0.5516014234875445
Pro,Extreme Greed,2318,3348,0.4091069537592658
Pro,Fear,2706,4161,0.39405854084753167
Pro,Greed,5159,5340,0.4913801314410896
Pro,Neutral,2432,2347,0.5088930738648253
Retail / Losing,Extreme Fear,70,352,0.16587677725118483
Retail / Losing,Extreme Greed,108,151,0.416988416988417
Retail / Losing,Fear,734,1267,0.36681659170414793
Retail / Losing,Greed,1298,457,0.7396011396011396
Retail / Losing,Neutral,234,745,0.2390194075587334
Whale Elite Pro,Extreme Fear,6549,5868,0.5274220826286543
Whale Elite Pro,Extreme Greed,6510,9468,0.40743522343221933
Whale Elite Pro,Fear,19985,20333,0.4956843097375862
Whale Elite Pro,Greed,10710,12352,0.46440031220189054
Whale Elite Pro,Neutral,10852,11369,0.48836686017730974
Whale Retail / Losing,Extreme Fear,1035,1339,0.43597304128053915
Whale Retail / Losing,Extreme Greed,3,2,0.6
Whale Retail / Losing,Fear,2213,2602,0.4596053997923157
Whale Retail / Losing,Greed,303,237,0.5611111111111111
Whale Retail / Losing,Neutral,380,533,0.41621029572836804
