ProfileClass,classification,trade_count,total_volume_usd,total_net_pnl,avg_net_pnl,win_rate
Elite Pro,Extreme Fear,2815,10147556.03,255516.2606955321,90.76954198775563,0.7264705882352941
Elite Pro,Extreme Greed,18084,23396787.4,580574.39457181,32.104312904877794,0.8753315649867374
Elite Pro,Fear,7836,20435259.69,466069.4970417386,59.47798583993601,0.8506284712072494
Elite Pro,Greed,14447,22636850.64,953602.3494720916,66.00694604222964,0.9160874724529581
Elite Pro,Neutral,8794,16432903.6,97303.5014260392,11.064760225840255,0.8972198820556023
Pro,Extreme Fear,3372,11404078.72,-82008.40787784,-24.32040565772242,0.6424870466321243
Pro,Extreme Greed,5666,7600815.13,209544.99639357,36.98287970235969,0.9272111722386797
Pro,Fear,6867,16451376.34,74406.0422297466,10.835305406982176,0.8322147651006712
Pro,Greed,10499,20155871.78,161578.08729107,15.389854966289171,0.5415441176470588
Pro,Neutral,4779,11896620.61,25496.99025536,5.335214533450513,0.7384155455904334
Retail / Losing,Extreme Fear,422,1242162.04,-44388.901123,-105.186969485782,0.30165289256198347
Retail / Losing,Extreme Greed,259,655779.25,11784.611623199997,45.500430977606165,0.6991150442477876
Retail / Losing,Fear,2001,4508549.53,150299.417094,75.11215247076461,0.865
Retail / Losing,Greed,1755,3064553.27,-364330.8541935,-207.5959283153846,0.7133479212253829
Retail / Losing,Neutral,979,2082616.04,46084.541617,47.07307621756895,0.8051948051948052
Whale Elite Pro,Extreme Fear,12417,54192914.58,612603.760235921,49.33589113601683,0.8302141291519137
Whale Elite Pro,Extreme Greed,15978,92652074.49,1884478.14445527,117.94205435319,0.8988987002678838
Whale Elite Pro,Fear,40318,359746286.4,2513970.4938623603,62.35355161124957,0.8773982923154194
Whale Elite Pro,Greed,23062,232238530.9,1438961.09468417,62.39532974955208,0.8139802631578947
Whale Elite Pro,Neutral,22221,137406705.64,1102963.56825173,49.636090556308446,0.8377531136151826
Whale Retail / Losing,Extreme Fear,2374,37497550.07,-26501.09738,-11.16305702611626,0.7306338028169014
Whale Retail / Losing,Extreme Greed,5,159708.30000000002,1758.4981639999999,351.69963279999996,1.0
Whale Retail / Losing,Fear,4815,82183317.83,59953.042740000004,12.451306903426792,0.9253855773238849
Whale Retail / Losing,Greed,540,10486688.13,-102780.096282,-190.33351163333333,0.43137254901960786
Whale Retail / Losing,Neutral,913,12423217.19,-18302.194304,-20.04621500985761,0.21339950372208435
